, I
otherfruitAnd, it
others, set
otherside, of
oughtAnd, now
our, seed
ourfamilies, and
ourfather, saw
ourfatherAnd, it
ourgold, and
ourinheritance, and
ourpropertyAnd, it
ourselves, inthe
ourtents, again
ourwivesAnd, it
out, upon
outAnd, notwithstanding
outof, darkness
outupon, the
over, the
overcome, because
overpower, them
overtake, us
own, bloodAnd
ownpower, much
ownswordAnd, after
ox, andthe
pacified, and
pained, I
palms, of
parents, therefore
parentsAnd, also
part, ofall
partake, of
partaken, of
partaking, ofthe
particular, to
partof, all
partook, not
parts, of
pass, that
passed, through
past, feeling
pastureAnd, because
pastures, shall
path, did
paths, of
peace, saith
people, shalldwell
peopleAnd, now
peopleFor, behold
peopleNevertheless, I
peopleUpon, the
peopleWherefore, the
peoplefull, of
peoplein, power
peopleof, the
peoplewherefore, these
perhaps, that
period, thatthe
perish, for
perishAnd, it
perishTherefore, wo
perishand, are
perished, with
perishedAnd, they
perishing, with
persuade, them
pervert, the
perverted, the
pieces, and
pit, which
pitch, our
pitched, his
place, to
places, and
placesThey, shall
plain, and
plainly, of
plainness, which
plains, of
plant, seeds
plates, of
platesAnd, after
platesof, brass
plateswhich, gives
plead, with
pleasing, unto
pleasure, on
plenty, of
pointed, the
pointers, whichwere
pointing, to
points, of
polished, shaft
polluted, and
pondering, in
popular, inthe
possess, againthe
possessed, that
possessions, and
possible, that
poured, out
power, over
powerof, God
powerover, the
powerwhereby, they
praise, will
praiseunto, their
praisingtheir, GodAnd
pray, oftunto
prayed, thewinds
prayers, and
praying, unto
preach, unto
preached, unto
precious, parts
preciousparts, of
precioussaith, the
preparator, of
prepare, a
prepared, ofthe
preparedall, things
prepareth, a
preparing, theway
presence, of
presenceAnd, it
present, timeAnd
preserve, the
preserved, even
preservedby, the
press, their
pressing, forwardand
prey, of
pride, of
princes, also
prison, And
prisoners, Go
probation, or
proceed, to
proceeded, forth
proceedeth, out
proceedings, in
profit, and
promise, who
promiseAnd, now
promiseYea, and
promised, land
property, and
propertyAnd, it
prophecies, have
prophesied, untothem
prophesy, andspeak
prophesying, concerning
prophet, of
prophetZenos, And
prophetand, have
prophets, which
prophetsWherefore, if
prophetthey, shall
prosper, and
prosperousCome, ye
protected, my
proud, and
provide, means
provisions, and
publish, peace
pure, and
purity, according
purpose, I
purposes, whichpurposes
pursue, us
put, all
quake, they
quakingthereofAnd, it
quarters, of
queens, thynursing
quench, theirthirstAnd
raise, up
raiseth, up
ranalong, and
raw, meat
read, are
readAnd, it
readconcerning, Jerusalemthat
reason, of
rebel, against
rebellion, they
receive, they
received, a
record, upon
recordAnd, I
recordYea, and
recordof, my
records, of
recordsAnd, now
recordsand, bring
recordswhich, thou
redeemed, his
redemption, of
reed, and
refined, thee
refrain, from
rehearse, unto
reign, and
reignethAnd, now
reignin, dominion
rejected, from
rejecting, signs
rejoice, over
rejoiced, when
rely, on
remain, in
remainder, of
remainderof, our
remember, the
remembered, the
rememberedthe, words
rememberest, the
remnant, of
remnants, of
removing, to
rend, and
rent, with
repent, of
repented, of
repenteth, not
representation, of
required, itof
restoration, of
restore, thepreserved
restored, they
restourselves, and
return, again
returnagain, yea
returned, to
revile, against
reviled, against
riches, And
right, ways
righteous, must
righteousWherefore, he
righteousness, and
righteousnessAnd, the
righteousnessNevertheless, they
righteousnessNow, all
rightways, of
ripe, in
ripeness, and
rise, from
river, and
riverLaman, and
roads, that
roadsAnd, great
robe, and
rock, for
rockAnd, when
rocks, of
rod, forthey
rodAnd, it
rodKnow, ye
room, that
rough, places
round, about
roundTherefore, remember
ruler, over
rulers, Kings
ruleth, high
rumors, of
rumorsof, wars
runninginto, the
sacred, And
sacrifice, andburnt
safely, in
said, unto
saidI, behold
saidIfye, will
saidunto, me
sailed, for
saints, of
saith, the
sake, will
sakesHe, ruleth
salvation, have
salvationAnd, blessed
same, course
samedirection, keeping
sand, the
sat, upon
save, that
saved, at
savedAnd, then
savedBut, behold
savedWherefore, the
saw, that
sawAnd, I
sawand, the
sawmany, harlotsAnd
sawwars, and
say, unto
sayBehold, I
saying, Aprophet
sayingBlessed, art
sayingDo, ye
sayingI, know
sayingLook, And
sayingLookAnd, I
saymine, idol
says, that
scarlets, and
scattered, the
scatteredAnd, after
scatteredbefore, the
scattering, them
scoffing, at
scorn, at
scourge, him
scourged, by
sea, and
sealed, up
search, them
searched, them
seashall, be
seashoreand, we
secret, from
see, and
seeBut, the
seed, shall
seedAnd, at
seedThat, these
seedWherefore, he
seedof, my
seeds, into
seedshall, be
seeing, I
seek, the
seeketh, shall
seen, and
seenAnd, being
seenWherefore, saith
seenmany, great
seenthine, abominations
seest, all
seestbecause, ofthe
seethat, the
seethemAnd, it
seizeupon, the
sent, him
sepulchre, according
servant, for
servants, ofLaban
set, them
shadow, ofhis
shaft, in
shake, asif
shall, be
shallbe, exaltedAnd
shalldwell, safely
shallexecute, judgment
shallforever, remain
shallno, more
shallnot, be
shallprosper, and
shallworship, because
shallwrite, are
shalt, thou
shaltbe, made
sharp, sword
she, should
sheaththereof, and
shed, the
sheep, and
sheepand, in
shepherd, and
shewas, exceedingly
ship, thatwe
shipAnd, it
shipNow, I
shipaccording, to
shipand, had
shipinsomuch, that
shipthey, began
shock, them
shoes, latchet
shore, of
short, in
should, consider
shouldbe, angry
shouldbehold, and
shouldersAnd, it
shouldersbehold, these
shouldpossess, the
shouldprepare, the
shouldsay, unto
shouldst, be
shouldtake, his
show, that
showed, thee
shown, unto
shrunk, and
sick, and
sickbedsBecause, of
side, of
sight, of
sign, given
signs, andwonders
signthat, after
silks, and
silver, and
silverand, our
simpleness, of
since, they
sincethe, world
sinew, and
sing, and
singing, O
sins, insomuch
sitting, upon
six, hundred
skins, of
slain, and
slainAnd, it
slaughters, with
slay, our
slayeth, the
slayeththe, saints
slayfood, behold
slaying, food
sling, and
slingsAnd, we
slow, to
small, voice
smite, them
smitten, no
smittenAnd, I
smoke, mustcome
smooth, places
smoothand, smooth
smote, the
snowAnd, it
so, be
soberness, but
soften, their
sogreat, a
sojourn, for
sold, into
somany, miracles
some, with
somewhat, of
son, of
sons, in
soon, cometh
sooner, or
sopowerful, was
sore, curse
soreAnd, it
sorenessthereofNevertheless, I
sorrow, into
sorrowAnd, it
sorrowful, they
sothat, if
sought, to
soul, others
soulAnd, it
souls, of
southsoutheast, direction
space, of
spacious, building
spaciousfield, as
spake, was
spakeconcerning, the
spakeunto, my
spanned, the
spare, his
speak, furtheras
speakAnd, it
speakas, he
speakest, hard
speaketh, withanotherAnd
speaking, to
speakis, the
speakunto, you
special, purpose
speedily, that
spent, my
spindles, andthe
spirit, which
spirits, were
spiritual, for
spiritually, according
spoken, are
spokenAnd, now
spokenWherefore, the
spokenconcerning, the
springs, of
stall, and
standard, and
standeth, one
stars, in
state, of
stateand, ever
stature, and
statutes, and
stay, themselves
steadfast, and
steelAnd, it
steeland, after
steer, the
stick, an
stiffneckedness, of
still, small
stir, up
stoned, and
stones, together
stonesAnd, I
stood, before
stoodAnd, it
stoodbefore, my
storm, did
straight, stick
strait, forme
straiten, them
strangebuilding, And
strangewilderness, and
strength, and
strengthAnd, he
strengthen, themand
strengthfor, naught
stretched, forth
stricken, in
strive, to
strivewith, them
striving, to
strong, yeaeven
stubble, and
stumble, exceedingly
stumbling, blocksAnd
such, great
suck, for
sucking, child
suddenlyAnd, I
suffer, my
suffered, much
sufferedthese, afflictionsBehold
suffereth, it
sufferings, wemust
suffersAnd, as
sufficeth, me
sun, smite
sunk, and
suppose, that
supposed, that
supposing, that
surely, prepare
surety, that
surrounded, with
swallowed, thee
swear, not
sweet, wineand
swift, to
swollen, and
sword, of
take, me
taken, away
takenaway, from
talked, with
tarried, in
tarry, for
tasks, which
tasted, thou
taught, them
teach, my
teacher, who
teacheth, thee
tears, and
tell, this
telling, him
tells, us
tempest, and
temporal, for
temporalAnd, it
temporallyand, spiritually
temptations, and
tender, merciesAnd
tenderparent, that
tens, of
tent, door
tentAnd, it
tentof, my
tents, and
tentsagain, that
terrible, shall
testified, and
testify, that
than, to
thanks, unto
thanksunto, himAnd
thanthat, a
that, have
thatI, could
thatSatan, shall
thatabominable, church
thatangels, have
thatawful, hell
thatgreat, whore
thathe, should
thathell, which
thatperhaps, I
thatprophet, shall
thatshall, fight
thatsit, in
thatthe, things
thatthere, were
thatthey, no
thatwait, for
thatwe, sailed
thatwhich, was
thatwhile, we
thatwhoso, repenteth
thatye, can
the, last
theEgyptiansAnd, I
theEternal, Father
theFather, unto
theGentiles, that
theGentilesAnd, it
theGod, of
theHoly, One
theJews, in
theJewseven, a
theLamb, of
theLord, hath
theLordAnd, the
theLordHow, is
theLordNow, it
theMessiah, come
theSpirit, of
theangel, spake
theapostle, of
thebeginning, from
theblade, thereof
thebookAnd, I
theborders, near
thechildren, of
thechurch, of
thecommandments, of
thecondescension, of
theday, must
thedead, and
thedepths, of
thedesires, of
thedesolate, heritagesThat
thedestruction, of
thee, O
theeAnd, it
theeBut, Laman
theeLift, up
theeO, isles
theeand, I
theearth, and
theearthThus, saith
theelder, was
theelest, thou
theend, ye
theethat, I
theface, of
thefiery, darts
thefirst, shall
theflesh, I
theformation, of
thefountain, of
thefruit, thereof
thefruitAnd, I
thefurnace, of
thegarments, and
thegospel, of
thegrafting, in
thegreat, and
thegreatest, of
thegroanings, of
thehands, of
thehead, thereof
thehearts, of
theheavens, open
thehistory, of
thehouse, of
theinhabitants, and
their, hearts
theirLord, and
theirRedeemer, going
theirarms, and
theirbrightness, did
theirdisputationsAnd, they
theirenemies, by
theirfather, because
theirhearts, wherefore
theirinheritance, and
theirjourney, with
theirmother, and
theirseed, will
theirsufferings, and
theirthirstAnd, notwithstanding
thejudgmentseat, of
thejustice, of
thekindreds, of
thekingdom, of
theknowledge, of
theland, of
thelandAnd, behold
them, Whereforeif
themAnd, I
themFor, he
themNeither, did
themNevertheless, thou
themThey, are
themThou, hast
themYea, and
themaking, known
themall, we
theman, and
themand, provide
themanner, which
themconcerning, these
themhad, fallen
themidst, of
themin, judgment
themixture, of
themmighty, unto
themother, of
themouth, of
themselves, and
themselvesI, Nephi
themthat, they
then, O
thename, of
thenations, of
theolivetree, and
theonly, ones
theopening, of
theothereither, to
thepastors, of
theplace, which
theplates, of
thepraising, of
thepreserved, of
thepromised, landAnd
theprophecies, the
theprophet, writtenHearken
theprophetAnd, the
there, are
thereare, many
therecame, many
therecord, which
therecords, of
therefore, they
thereign, of
theremainder, of
theremnant, of
thereof, his
thereofAnd, when
thereofforI, spake
thereshall, be
thereshould, be
therestoration, of
therighteous, be
therock, also
therod, of
thesaints, of
these, thingsWherefore
theseBehold, I
thesea, which
theseaAnd, it
theseaThy, seed
theseashore, and
theseed, of
thesefrom, the
theserecords, that
theservant, of
theservants, of
thesethings, which
thesewords, he
theship, with
thesilver, and
thesoulAnd, after
thespace, of
thespirit, and
thetaking, away
thetempest, began
thething, which
thethings, which
thetop, of
thetreasury, And
thetree, which
thetrue, and
thetruth, and
theunderstanding, of
thevalley, of
thevoice, of
thewallsAnd, it
thewars, and
theway, for
theways, of
thewhiteness, of
thewickedAnd, I
thewickedness, of
thewilderness, and
thewildernessAnd, it
thewildernessYea, and
thewinds, did
thewombNevertheless, for
theword, of
thewords, of
theworkmanship, thereof
thewrath, of
they, testify
theyare, written
theydid, revile
theydo, not
theyerr, of
theyhad, done
theyharden, their
theyhave, become
theyknew, not
theymight, know
theyproceeded, out
theyshall, bring
theyshould, murmur
theysought, to
theyspit, upon
theystand, up
theytaken, awayAnd
theywandered, off
theywere, pacified
theywho, had
theywithhold, their
theywould, loose
thine, heart
thing, that
thingAnd, my
thingfor, them
things, which
thingsAnd, it
thingsFor, behold
thingsWherefore, my
thingsconcerning, them
thingsmust, come
thingspertaining, to
thingssave, it
thingsthat, he
thingsthe, Lord
thingsunto, me
thingswhich, are
thingsyea, and
thingwhich, I
think, it
thinketh, that
thirst, neither
thirsted, not
this, is
thiscause, that
thisearth, is
thishave, I
thither, yea
those, who
thosefirst, plates
thosewho, must
thou, say
thouAnd, I
thouLehi, because
thoubeholdest, they
thought, to
thousandsTherefore, let
thoushalt, know
three, days
throne, and
through, the
throw, me
thrust, us
thrusthim, out
thunder, which
thunderings, and
thus, it
thusare, the
thy, seed
thyRedeemer, the
thybowels, like
thybrother, yea
thybrothers, should
thydestruction, shall
thyneck, is
thynursing, mothers
thypeace, been
thyseed, that
thywalls, are
tidings, of
till, the
timbers, after
time, cometh
timeAnd, it
timeeven, hidden
timeforth, And
timehave, I
times, to
timesof, old
timesurely, must
to, theend
toJerusalem, again
toall, diligence
tobe, a
tobelieve, in
tocome, forth
today, and
todestroy, Laban
todo, a
together, to
togetherAll, ye
togetherAnd, the
togetherto, battle
tohearken, to
tohellyea, that
tohim, whom
tohis, people
toiled, being
told, me
tolead, them
tomake, them
tomolten, that
tongue, and
tongues, and
too, strait
took, the
tookthe, compass
tools, of
toolsAnd, it
topass, that
toperform, was
toperish, in
toproceed, with
toprofit, who
torment, ofthe
tortureth, them
toservant, of
tostand, before
totake, away
tothe, Gentiles
totheir, fathersYea
tothem, which
totime, according
touch, me
towards, the
towardsthat, great
towife, that
toworship, me
trample, under
trampleunder, their
transgressor, from
travel, and
traveled, for
treacherously, and
treasury, of
treasuryAnd, he
treat, me
tree, of
treeAnd, I
tremble, and
trembleexceedingly, and
tribes, have
tribesof, Israel
true, olivetreeAnd
trueAnd, the
trueand, behold
truly, chastened
truth, moreparticularly
tumble, to
tumbling, into
tumultuousnoises, and
turn, upon
turned, one
twelve, apostlesof
twelvedisciples, of
two, sons
unavoidably, come
unbelief, yea
unbeliefAnd, now
unclean, thing
under, their
understand, the
understanding, concerning
understood, according
undertheir, feet
unfolded, unto
unless, he
unloose, Andmuch
until, after
untilfurther, commandments
untiltheir, frames
unto, you
untoAbraham, saying
untoJerusalem, ye
untocomplaining, against
untohim, And
untothe, fulfilling
untotheir, utter
untothem, unto
untothemYe, are
untothose, who
untous, in
untoyou, in
untoyourselves, that
up, to
upAnd, all
upagain, unto
upfor, a
upin, the
upon, the
uponall, the
uponme, I
uponplates, which
uponthe, face
upontheir, sickbedsBecause
uponthemAnd, it
upontwelve, others
upuntil, we
us, that
usAnd, it
usBehold, I
usFor, she
usWherefore, let
usaccording, to
use, of
usin, the
usknoweth, save
usour, fears
uswherefore, it
usyea, against
utter, to
utterly, destroy
vain, surely
valley, which
vapor, of
vaporof, darkness
very, treacherously
verycenterAnd, now
view, wandering
vine, Yea
virgin, again
virginsAnd, he
vision, he
visionAnd, behold
visionary, man
visions, and
visit, me
visitall, the
visited, themin
visiting, of
voice, of
wade, through
walk, in
walkuprightly, before
walls, And
wallsAnd, I
wander, inthe
wandered, in
wanderedmuch, in
wandering, instrange
want, of
war, against
wars, among
was, the
wascaught, away
wasdesirable, above
wasfilthiness, and
wasgood, and
wasinstructed, of
wasjudged, of
wasnot, meet
wasplain, to
waspoured, out
wasseparated, from
wast, called
waste, and
wasteAnd, after
wasthe, son
water, shall
waterAnd, I
waters, gushed
watersAnd, thus
watersare, a
watery, graveAnd
waves, of
way, for
ways, of
waysand, their
waythat, they
we, know
weak, for
weakness, which
wearyme, even
wedid, find
well, as
wemust, perish
went, forth
wentforth, in
weperish, in
were, manifest
wereafflicted, with
werebeasts, in
wereblessed, in
weredesirous, that
weredisputing, one
wereexceedingly, wroth
wereexpedient, for
werehard, to
werelacking, in
wereprepared, of
werepressing, forward
werescattered, upon
wereupon, my
werewritten, were
weshould, be
west, and
wewould, hearken
what, they
whatbeholdest, thouAnd
whatsoever, he
whatsoeverthings, we
when, thou
whence, it
whenthey, saw
where, have
whereby, they
wherefore, he
whereforehe, prepareth
whereforethey, are
wherewith, to
which, have
whichI, saw
whichLaban, had
whichconsists, of
whichhe, spake
whichmy, father
whichour, father
whichpurposes, are
whichseparated, the
whichshall, be
whichsheddeth, itself
whichshould, be
whichthe, Lord
whichthings, I
whichthreatened, them
whichthy, father
whichtranspired, before
whichwas, learned
whichwere, written
while, I
whilewe, did
whit, and
white, and
whiteAnd, it
whitein, his
whiteness, thereof
whiterobeAnd, the
whither, they
who, must
whocome, unto
whohas, taken
wholeheart, was
whom, thou
whomMoses, spake
whomhe, had
whopassed, away
whore, who
whose, fruit
whosewould, hearken
whoshall, hereafter
whoshould, come
whoso, shall
whowere, in
why, is
wicked, shall
wickedAnd, again
wickedly, in
wickedness, of
wickednessof, the
wife, with
wifeAnd, thus
wild, animals
wilderness, by
wildernessAnd, we
wildernessBut, behold
wildernessPrepare, ye
wildernessand, she
wildernessbehold, Laman
wildernesssaying, that
wildernessuntil, we
wildernesswhich, time
will, not
willI, do
willdeliver, Laban
willgo, and
willharden, their
willing, tohearken
willmake, thy
willprepare, the
willrepentAnd, now
willwork, wickedness
wilt, thou
wind, for
wineAnd, when
wineand, all
wisdom, in
wisdomthereof, yea
wise, purposes
with, our
withanotherAnd, it
wither, before
witherbefore, thee
withexceedingly, great
withhim, save
within, the
withme, because
withmy, brethren
without, food
withthe, Lord
withthee, for
withtheir, own
withusAnd, it
witness, and
witnessed, himye
wives, began
wo, be
woman, forget
womb, Yea
women, have
wood, abow
word, which
wordAnd, after
words, of
wordsBut, behold
wordshe, was
wordsof, his
wordsthey, set
wordswhich, I
work, among
workAnd, thou
workFor, it
workWherefore, they
worketh, manythings
workings, in
workmanship, thereof
workmanshipAnd, the
works, and
workshave, been
workwhich, shall
world, and
worldAnd, after
worldWherefore, the
worship, the
worshiphimAnd, it
worth, unto
worthboth, to
worthunto, the
worthy, to
would, that
wouldhearken, unto
wouldspeak, in
wouldstdeal, very
wouldtarry, with
wrath, must
wrist, and
write, anything
writeof, the
writing, which
written, upon
writtenAnd, it
writtenHearken, and
writtenmany, things
writtenshould, be
wroth, and
wrought, upon
ye, shall
yea, even
yeaand, he
yeaconcerning, the
yeaeven, Abraham
yeaexceeding, of
yeahe, did
yeainsomuch, that
yeaor, even
year, therecame
years, from
yeathat, great
yeathe, God
yeaunto, the
yeawhich, the
yecould, not
yehave, read
yeknow, that
yeshall, know
yesterday, today
yet, concerning
yieldethhimself, according
yoke, of
yoketh, them
you, that
youAnd, it
youBehold, I
youHow, is
youNayDo, ye
youand, this
young, having
younger, JosephAnd
youngerbrother, shall
youngnevertheless, being
your, God
yourselves, They
